Pattern,#SUP:
因/p -1 涉嫌/v -1 违法/v -1 犯罪/v_mytail -1 ,140.0
因/p -1 涉嫌/v -1 违法/v -1 ,142.0
因/p -1 涉嫌/v -1 ,670.0
涉嫌/v_myhead -1 犯罪/v -1 ,163.0
涉嫌/v_myhead -1 受贿/v -1 ,245.0
涉嫌/v_myhead -1 渎职/v -1 受贿/v -1 ,93.0
涉嫌/v_myhead -1 违法/v -1 ,95.0
涉嫌/v_myhead -1 严重/a -1 ,146.0
涉嫌/v_myhead -1 违纪/v -1 ,97.0
涉嫌/v_myhead -1 行贿/v -1 获/v -1 ,135.0
涉嫌/v_myhead -1 行贿/v -1 ,340.0
涉嫌/v_myhead -1 ,2058.0
涉嫌/v -1 卖淫/v -1 ,99.0
涉嫌/v -1 受贿/v -1 犯罪/v -1 ,294.0
涉嫌/v -1 受贿/v -1 ,1731.0
涉嫌/v -1 违法/v -1 犯罪/v_mytail -1 ,183.0
涉嫌/v -1 违法/v -1 ,1403.0
涉嫌/v -1 垄断/v -1 ,176.0
涉嫌/v -1 犯罪/v_mytail -1 ,527.0
涉嫌/v -1 施暴/v_mytail -1 ,115.0
涉嫌/v -1 严重/a -1 违法/v -1 ,834.0
涉嫌/v -1 严重/a -1 违纪/v_mytail -1 ,455.0
涉嫌/v -1 严重/a -1 违纪/v -1 违法/v_mytail -1 ,365.0
涉嫌/v -1 严重/a -1 违纪/v -1 违法/v -1 ,832.0
涉嫌/v -1 严重/a -1 违纪/v -1 ,1792.0
涉嫌/v -1 严重/a -1 ,2271.0
涉嫌/v -1 做/v -1 ,158.0
涉嫌/v -1 失职/v -1 ,293.0
涉嫌/v -1 职务/n -1 犯罪/v_mytail -1 ,235.0
涉嫌/v -1 职务/n -1 ,297.0
涉嫌/v -1 违法/v_mytail -1 ,482.0
涉嫌/v -1 贪污/v_mytail -1 ,312.0
涉嫌/v -1 走私/v -1 鉴赏/v_mytail -1 ,93.0
涉嫌/v -1 走私/v -1 ,215.0
涉嫌/v -1 拍假/v -1 做/v -1 ,148.0
涉嫌/v -1 嫖娼/v -1 ,185.0
涉嫌/v -1 行贿/v -1 ,166.0
涉嫌/v -1 违规/v_mytail -1 ,261.0
涉嫌/v -1 受贿罪/n -1 立案/v -1 ,97.0
涉嫌/v -1 受贿罪/n -1 ,835.0
涉嫌/v -1 滥用/v -1 职权/n_mytail -1 ,151.0
涉嫌/v -1 滥用/v -1 ,227.0
涉嫌/v -1 违纪/v_mytail -1 ,524.0
涉嫌/v -1 聚众/v -1 扰乱/v -1 社会/n -1 秩序/n -1 ,114.0
涉嫌/v -1 聚众/v -1 扰乱/v -1 社会/n -1 ,115.0
涉嫌/v -1 聚众/v -1 扰乱/v -1 ,157.0
涉嫌/v -1 聚众/v -1 ,161.0
涉嫌/v -1 犯罪/v -1 ,1120.0
涉嫌/v -1 扰乱/v -1 社会/n -1 秩序/n -1 ,115.0
涉嫌/v -1 扰乱/v -1 社会/n -1 ,116.0
涉嫌/v -1 扰乱/v -1 ,195.0
涉嫌/v -1 寻衅/v -1 ,105.0
涉嫌/v -1 违规/v -1 ,316.0
涉嫌/v -1 痛下/v -1 毒手/n_mytail -1 ,158.0
涉嫌/v -1 利用/v -1 香港/n -1 六合彩/n -1 ,99.0
涉嫌/v -1 利用/v -1 ,132.0
涉嫌/v -1 派出所/n -1 ,166.0
涉嫌/v -1 通奸/v -1 嫖娼/v -1 ,100.0
涉嫌/v -1 通奸/v -1 ,101.0
涉嫌/v -1 接受/v -1 ,126.0
涉嫌/v -1 社会/n -1 ,122.0
涉嫌/v -1 性质/n -1 ,120.0
涉嫌/v -1 污染/v -1 ,332.0
涉嫌/v -1 受贿罪/n_mytail -1 ,556.0
涉嫌/v -1 诈骗/v -1 ,159.0
涉嫌/v -1 暴力/n -1 强拆/v_mytail -1 ,285.0
涉嫌/v -1 暴力/n -1 ,379.0
涉嫌/v -1 侵权/v -1 ,95.0
涉嫌/v -1 违纪/v -1 接受/v -1 ,125.0
涉嫌/v -1 违纪/v -1 违法/v_mytail -1 ,412.0
涉嫌/v -1 违纪/v -1 违法/v -1 ,914.0
涉嫌/v -1 违纪/v -1 ,2193.0
涉嫌/v -1 环境/n -1 犯罪/v -1 ,278.0
涉嫌/v -1 环境/n -1 污染/v -1 犯罪/v -1 ,275.0
涉嫌/v -1 环境/n -1 污染/v -1 ,306.0
涉嫌/v -1 环境/n -1 ,350.0
涉嫌/v -1 罪/n -1 ,96.0
涉嫌/v -1 受贿/v_mytail -1 ,862.0
涉嫌/v -1 杀害/v -1 派出所/n -1 所长/n_mytail -1 ,102.0
涉嫌/v -1 杀害/v -1 派出所/n -1 ,150.0
涉嫌/v -1 杀害/v -1 ,169.0
涉嫌/v -1 立案/v -1 ,107.0
涉嫌/v -1 ,16387.0
以/p -1 涉嫌/v -1 ,186.0
